0
0.16666666666666666,0.08333333333333333
0,0,0
0.1111111111111111,0,0.05555555555555555,0.05555555555555555
0,0,0.047619047619047616,0.09142857142857144,0.04591836734693877
0.08333333333333333,0,0.041666666666666664,0.075,0.07175925925925926,0.0395021645021645
0,0,0.027777777777777776,0.02962962962962963,0.06613756613756613,0.05648926237161531,0.0349537037037037
0.06666666666666667,0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06404761904761905,0.04729064039408868,0.031461988304093566
0,0,0.030303030303030304,0.024242424242424246,0.02922077922077922,0.05541125541125542,0.05647382920110193,0.041546780940720326,0.02865612648221344
0.05555555555555555,0,0.027777777777777776,0.027777777777777776,0.034932659932659926,0.024603174603174606,0.0551994301994302,0.049851146757545484,0.0375801282051282,0.026334776334776332
