0.22983333333333417
0.2449625,0.20938333333333362
0.25315999999999544,0.2168200000000111,0.19115000000000162
0.25781666666666736,0.22138888888889105,0.19474166666666634,0.1754733333333381
0.25990000000000246,0.22317142857141117,0.19653928571428433,0.17825428571427948,0.1624619047619053
0.2607875,0.22478333333333345,0.198203125,0.17926499999999987,0.16426666666666617,0.1538696428571436
0.26280555555555934,0.22604814814814136,0.1999999999999984,0.18075333333333599,0.16545925925925534,0.15496984126982266,0.14594999999999786
0.26342500000000035,0.2267066666666659,0.20035249999999877,0.18115599999999935,0.16607666666666726,0.1556085714285667,0.14636875000000074,0.13985333333333427
0.26397272727272336,0.22693333333332238,0.20036363636363788,0.18178181818182235,0.16632424242424046,0.1559948051948105,0.1469170454545452,0.14036262626261875,0.13291454545454517
0.2644708333333321,0.22819166666666515,0.20109375000000013,0.18243333333333486,0.16686388888888806,0.15640595238095278,0.14741562499999972,0.14070277777777723,0.13330083333333392,0.1272174242424219
